S,B,latency,memory,energy,is_validation
224,64,0.017065869000362,335904768,1.161217271183014,False
224,111,0.02984297650073131,572041216,1.9902460393018262,True
224,128,0.033855059999950754,655458304,2.3074890516589592,False
224,133,0.03632858950004447,713443328,2.464105094789231,True
224,139,0.03732439900022655,725121024,2.526408817061571,True
224,256,0.0692762514995593,1292992512,4.657390459993737,False
224,512,0.14188708699975905,2568069120,9.389911584256506,True
256,1,0.0008240739998655044,19499008,0.05750329916049668,False
256,2,0.0007818155004315486,22906880,0.040596695745906804,False
256,4,0.0012769384998136957,32210944,0.12116459833794853,False
256,8,0.003467676999662217,49381376,0.26443748673686784,False
256,16,0.005885191000743362,119316480,0.41143158362678706,False
256,32,0.011503484500281047,223518720,0.8130683749320242,False
256,64,0.022484198000256583,431923200,1.5250834673167346,False
256,111,0.03913155600002938,744529920,2.593193319129285,True
256,128,0.044279808499595674,848732160,3.0172240430768174,False
256,133,0.04682367549958144,928612352,3.1725424351528853,True
256,139,0.0484476364999864,943030272,3.2910983084926984,True
256,256,0.08825255550027578,1683062784,5.9669620526686575,False
256,512,0.17756344100007482,3350298624,11.84599911037985,True
304,1,0.0007706529995630262,20897280,0.030661857908624367,True
304,2,0.0011391345001356967,26779648,0.04321451736896324,True
304,4,0.002115434500410629,39620608,0.17760120496935997,True
304,8,0.005037869500029046,64004096,0.29274762192937487,True
304,16,0.008012413500182447,153698304,0.5818749770170897,True
304,32,0.0159566829997857,291143680,1.1183002481606195,True
304,64,0.030808693500148365,565706752,2.095920702913868,True
304,111,0.053418007499658415,973778944,3.654525374321662,True
304,128,0.06110675299942159,1114464256,4.130034252480675,True
304,133,0.06382632350050699,1216093184,4.321075027745348,True
304,139,0.06712716150013875,1236387840,4.516897284273128,True
304,256,0.12152793249970273,2213552128,8.168469212834335,True
304,512,0.24306469000021025,4411465728,16.481414279051144,True
320,1,0.0008448025000689086,21416448,0.06871740486008093,True
320,2,0.0011508820002745779,27656192,0.060487379539589714,True
320,4,0.0022277994999058137,41582592,0.1440152587725788,True
320,8,0.0052678249999189575,70746112,0.3896079428465414,True
320,16,0.00844427900028677,159744000,0.49841964677794515,True
320,32,0.016537899000013567,303136768,1.1687891594370217,True
320,64,0.03248035249998793,588513280,2.193032273003651,True
320,111,0.05621071550012857,1013630976,3.8055425469993382,True
320,128,0.06488074050002979,1159815168,4.377908005476286,True
320,133,0.06861892450024243,1263632384,4.642922073958977,True
320,139,0.07081654700004947,1286160384,4.714284160848589,True
320,256,0.12981677349989695,2304516096,8.693985405150308,True
320,512,0.2635943025002234,4593917952,17.58154047218745,True
384,1,0.0009144220002781367,23822336,0.06495802991219353,False
384,2,0.0015503079998779867,33783808,0.0805527212494053,False
384,4,0.003318072000183747,53837824,0.4965092955277905,False
384,8,0.006759764999969775,95125504,0.5413382111067713,False
384,16,0.01233598049975626,227639296,0.8799980390743061,False
384,32,0.02403782500005036,436260864,1.6926459042696753,False
384,64,0.047126806499818485,857407488,3.1946419511246917,False
384,111,0.08262128399974245,1484802048,5.575670645216829,True
384,128,0.09447485550026613,1699840000,6.416174762940713,False
384,133,0.10051041549968431,1853390848,6.823722291788459,True
384,139,0.10459045499965214,1884061696,7.141573825400218,True
384,256,0.1875827739995657,2580643840,12.602384179558907,False
384,512,0.3795630394993168,5147557888,25.278584558869625,True
512,1,0.0013987525003358314,32210944,0.07149857935492218,False
512,2,0.0033426174995838664,49381376,0.22132064750262365,False
512,4,0.006196255500071857,85032960,0.48966747865163207,False
512,8,0.012521314999503375,156336128,0.856591128174663,False
512,16,0.021278113000334997,399734784,1.4217637018124323,False
512,32,0.04234527599965077,784355328,2.875526956866991,False
512,64,0.0844208010003058,1553596416,5.702760226828826,False
512,111,0.14839959549999548,2699069440,9.922403867015767,True
512,128,0.1705342944997028,3092348928,11.46577352638524,False
512,133,0.1807510344997354,3373938688,12.054023045883591,True
512,139,0.18576793500005806,3430561792,12.432864596063025,True
512,256,0.3210927404998074,4577132544,21.543302402932248,False
512,512,0.6365192769999339,9140535296,42.792285242750765,True
1024,1,0.006578926999736723,85032960,0.36728597860419765,True
1024,2,0.01254850900022575,156336128,0.7865180896870465,True
1024,4,0.024456055499740614,298942464,1.6421888212947384,True
1024,8,0.04841180750008789,584155136,3.25952654840547,True
1024,16,0.08475964299987027,1492334592,5.674324350032014,True
1024,32,0.16927524150014506,2969554944,11.40881688905964,True
1024,64,0.3352431775006153,5923995648,22.507768495693487,True
1024,111,0.5867639154998869,10317907968,39.392588955206634,True
1024,128,0.6716879935001998,11833278464,45.156956212331195,True
1024,133,0.708836655000141,12894861312,48.47729675667533,True
1024,139,0.7039683514999524,9924870144,47.51410177047264,True
1024,256,,OOM,,True
1024,512,,OOM,,True
